state,year,age,stname,pmu,pru,pmuse,pruse,year0,mmlf,mmll,mml_1,mml0,mml1,mml2,treated,treatex,mmlwall,wall
"California",2002,"12+y","California",6.5,36.63,.3520408,.8673469,"2002-3","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"California",2002,"12-17y","California",7.66,32.86,.5102041,.994898,"2002-3","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"California",2002,"18-25y","California",16.09,25.51,.7908163,.9693878,"2002-3","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"California",2002,"26+y","California",4.57,39.22,.4362245,1.122449,"2002-3","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"California",2003,"12+y","California",6.71,39.64,.3392857,.8673469,"2003-4","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"California",2003,"12-17y","California",8.52,34.28,.5714286,.994898,"2003-4","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"California",2003,"18-25y","California",16.23,26.52,.7908163,.9438776,"2003-4","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"California",2003,"26+y","California",4.7,42.84,.3903061,1.122449,"2003-4","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"California",2004,"12+y","California",6.7,38.46,.3443878,.8418368,"2004-5","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"California",2004,"12-17y","California",7.5,33.67,.497449,1.045918,"2004-5","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"California",2004,"18-25y","California",16.19,27.55,.8163266,1.045918,"2004-5","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"California",2004,"26+y","California",4.85,41.18,.4081633,1.045918,"2004-5","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"California",2005,"12+y","California",6.7,37.28,.3545918,.8418368,"2005-6","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"California",2005,"12-17y","California",6.51,33.6,.4897959,1.020408,"2005-6","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
